marca,modelo,fecha,concesionario
Ford,Mondeo,27/4/2018,1
Ford,Ka,15/6/2019,7
Ford,Fiesta,1/3/2018,2
Chevrolet,Meriva,3/12/2016,7
Chevrolet,Corsa,6/4/2016,3
Chevrolet,Corvette,22/10/2019,2
Volkswagen,Gol,21/2/2016,5
Ferrari,Testarosa,5/12/2015,2
Fiat,Duna,20/8/2019,6
Fiat,Spazio,1/12/2017,3
Fiat,Fitito,20/8/2015,3
Ford,Mondeo,11/5/2019,2
Ford,Ka,20/12/2019,2
Ford,Fiesta,6/7/2016,3
Chevrolet,Meriva,3/10/2015,7
Chevrolet,Corsa,4/4/2019,2
Chevrolet,Corvette,28/3/2019,1
Volkswagen,Gol,7/10/2017,4
Ferrari,Testarosa,25/4/2018,1
Fiat,Duna,13/8/2017,7
Fiat,Spazio,21/4/2018,3
Fiat,Fitito,31/7/2017,6
Ford,Mondeo,4/8/2017,2
Ford,Ka,25/7/2016,7
Ford,Fiesta,25/3/2019,1
Chevrolet,Meriva,5/7/2015,1
Chevrolet,Corsa,26/6/2016,6
Chevrolet,Corvette,28/6/2016,1
Volkswagen,Gol,26/9/2015,7
Ferrari,Testarosa,18/7/2019,7
Fiat,Duna,19/10/2015,1
Fiat,Spazio,4/2/2019,2
Fiat,Fitito,28/2/2019,4
Ford,Mondeo,8/3/2018,5
Ford,Ka,28/1/2018,1
Ford,Fiesta,11/8/2017,5
Chevrolet,Meriva,23/2/2016,5
Chevrolet,Corsa,9/1/2016,1
Chevrolet,Corvette,12/11/2019,5
Volkswagen,Gol,31/10/2018,6
Ferrari,Testarosa,15/3/2016,3
Fiat,Duna,13/1/2016,3
Fiat,Spazio,13/5/2019,3
Fiat,Fitito,23/10/2017,3
Ford,Mondeo,30/7/2015,6
Ford,Ka,7/9/2019,4
Ford,Fiesta,28/5/2019,7
Chevrolet,Meriva,14/10/2018,1
Chevrolet,Corsa,30/7/2015,1
Chevrolet,Corvette,4/6/2015,2
Volkswagen,Gol,20/11/2018,4
Ferrari,Testarosa,26/2/2017,7
Fiat,Duna,16/3/2016,1
Fiat,Spazio,13/1/2015,3
Fiat,Fitito,17/9/2018,7
Ford,Mondeo,10/10/2015,4
Ford,Ka,17/2/2015,6
Ford,Fiesta,27/2/2017,5
Chevrolet,Meriva,6/6/2019,2
Chevrolet,Corsa,31/8/2019,4
Chevrolet,Corvette,14/12/2015,4
Volkswagen,Gol,12/2/2018,2
Ferrari,Testarosa,28/5/2015,7
Fiat,Duna,29/1/2019,6
Fiat,Spazio,28/1/2015,1
Fiat,Fitito,27/7/2017,5
Ford,Mondeo,4/6/2016,5
Ford,Ka,25/9/2017,1
Ford,Fiesta,2/7/2016,3
Chevrolet,Meriva,21/4/2016,5
Chevrolet,Corsa,16/8/2015,2
Chevrolet,Corvette,10/3/2015,3
Volkswagen,Gol,16/11/2017,2
Ferrari,Testarosa,22/7/2016,4
Fiat,Duna,22/4/2018,2
Fiat,Spazio,5/3/2018,2
Fiat,Fitito,1/9/2015,3
Ford,Mondeo,18/12/2016,4
Ford,Ka,27/8/2015,7
Ford,Fiesta,12/10/2016,2
Chevrolet,Meriva,8/10/2019,2
Chevrolet,Corsa,25/9/2018,3
Chevrolet,Corvette,9/6/2015,4
Volkswagen,Gol,19/4/2016,4
Ferrari,Testarosa,28/7/2015,1
Fiat,Duna,18/2/2018,2
Fiat,Spazio,14/10/2015,4
Fiat,Fitito,13/12/2017,2
Ford,Mondeo,16/4/2015,6
Ford,Ka,13/8/2019,1
